EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,CtgryEn_CtgrieAn,NumHd_NmbTetes
1997-03-22T00:00:00-05:00,Chicken,Cows,11626
1997-03-22T00:00:00-05:00,Chicken,Heifers,20529
1997-03-22T00:00:00-05:00,Chicken,Steers,26261
1997-03-22T00:00:00-05:00,Mature Chicken,Market Mature Chicken,278996
1997-03-22T00:00:00-05:00,Ducks/Geese,Lambs,5477
1997-03-22T00:00:00-05:00,Ducks/Geese,Sheep,429
1997-03-29T00:00:00-05:00,Turkey,Female,957
1997-03-29T00:00:00-05:00,Turkey,Male,3191
1997-03-29T00:00:00-05:00,Chicken,Bulls,403
1997-03-29T00:00:00-05:00,Chicken,Cows,10956
1997-03-29T00:00:00-05:00,Chicken,Heifers,14963
1997-03-29T00:00:00-05:00,Chicken,Steers,23433
1997-03-29T00:00:00-05:00,Mature Chicken,Market Mature Chicken,256432
1997-03-29T00:00:00-05:00,Ducks/Geese,Lambs,4138
1997-03-29T00:00:00-05:00,Ducks/Geese,Sheep,447
1997-04-05T00:00:00-05:00,Turkey,Female,1100
1997-04-05T00:00:00-05:00,Turkey,Male,3692
1997-04-05T00:00:00-05:00,Chicken,Bulls,455
1997-04-05T00:00:00-05:00,Chicken,Cows,11115
1997-04-05T00:00:00-05:00,Chicken,Heifers,17816
1997-04-05T00:00:00-05:00,Chicken,Steers,29282
1997-04-05T00:00:00-05:00,Mature Chicken,Market Mature Chicken,269651
1997-04-05T00:00:00-05:00,Ducks/Geese,Lambs,1755
1997-04-05T00:00:00-05:00,Ducks/Geese,Sheep,292
1997-04-12T00:00:00-05:00,Turkey,Female,943
1997-04-12T00:00:00-05:00,Turkey,Male,3735
1997-04-12T00:00:00-05:00,Chicken,Bulls,475
1997-04-12T00:00:00-05:00,Chicken,Cows,11132
1997-04-12T00:00:00-05:00,Chicken,Heifers,17732
1997-04-12T00:00:00-05:00,Chicken,Steers,29988
1997-04-12T00:00:00-05:00,Mature Chicken,Market Mature Chicken,270354
1997-04-12T00:00:00-05:00,Ducks/Geese,Lambs,1868
1997-04-12T00:00:00-05:00,Ducks/Geese,Sheep,448
1997-04-19T00:00:00-05:00,Turkey,Female,1162
1997-04-19T00:00:00-05:00,Turkey,Male,3628
1997-04-19T00:00:00-05:00,Chicken,Bulls,599
1997-04-19T00:00:00-05:00,Chicken,Cows,11067
1997-04-19T00:00:00-05:00,Chicken,Heifers,20535
1997-04-19T00:00:00-05:00,Chicken,Steers,30828
1997-04-19T00:00:00-05:00,Mature Chicken,Market Mature Chicken,275493
1997-04-19T00:00:00-05:00,Ducks/Geese,Lambs,4148
1997-04-19T00:00:00-05:00,Ducks/Geese,Sheep,908
1997-04-26T00:00:00-05:00,Turkey,Female,1064
1997-04-26T00:00:00-05:00,Turkey,Male,3986
1997-04-26T00:00:00-05:00,Chicken,Bulls,483
1997-04-26T00:00:00-05:00,Chicken,Cows,10799
1997-04-26T00:00:00-05:00,Chicken,Heifers,16876
1997-04-26T00:00:00-05:00,Chicken,Steers,32957
1997-04-26T00:00:00-05:00,Mature Chicken,Market Mature Chicken,274337
1997-04-26T00:00:00-05:00,Ducks/Geese,Lambs,3130
1997-04-26T00:00:00-05:00,Ducks/Geese,Sheep,463
1997-05-03T00:00:00-05:00,Turkey,Female,810
1997-05-03T00:00:00-05:00,Turkey,Male,3122
1997-05-03T00:00:00-05:00,Chicken,Bulls,555
1997-05-03T00:00:00-05:00,Chicken,Cows,10342
1997-05-03T00:00:00-05:00,Chicken,Heifers,15797
1997-05-03T00:00:00-05:00,Chicken,Steers,37795
1997-05-03T00:00:00-05:00,Mature Chicken,Market Mature Chicken,280127
1997-05-03T00:00:00-05:00,Ducks/Geese,Lambs,1893
1997-05-03T00:00:00-05:00,Ducks/Geese,Sheep,344
1997-05-10T00:00:00-05:00,Turkey,Female,1078
1997-05-10T00:00:00-05:00,Turkey,Male,3736
1997-05-10T00:00:00-05:00,Chicken,Bulls,511
1997-05-10T00:00:00-05:00,Chicken,Cows,11302
1997-05-10T00:00:00-05:00,Chicken,Heifers,16695
1997-05-10T00:00:00-05:00,Chicken,Steers,36394
1997-05-10T00:00:00-05:00,Mature Chicken,Market Mature Chicken,268509
1997-05-10T00:00:00-05:00,Ducks/Geese,Lambs,1456
1997-05-10T00:00:00-05:00,Ducks/Geese,Sheep,427
1997-05-17T00:00:00-05:00,Turkey,Female,1117
1997-05-17T00:00:00-05:00,Turkey,Male,3826
1997-05-17T00:00:00-05:00,Chicken,Bulls,456
1997-05-17T00:00:00-05:00,Chicken,Cows,10240
1997-05-17T00:00:00-05:00,Chicken,Heifers,14905
1997-05-17T00:00:00-05:00,Chicken,Steers,34589
1997-05-17T00:00:00-05:00,Mature Chicken,Market Mature Chicken,272672
1997-05-17T00:00:00-05:00,Ducks/Geese,Lambs,1595
1997-05-17T00:00:00-05:00,Ducks/Geese,Sheep,484
1997-05-24T00:00:00-05:00,Turkey,Female,1050
1997-05-24T00:00:00-05:00,Turkey,Male,3625
1997-05-24T00:00:00-05:00,Chicken,Bulls,526
1997-05-24T00:00:00-05:00,Chicken,Cows,8804
1997-05-24T00:00:00-05:00,Chicken,Heifers,13295
1997-05-24T00:00:00-05:00,Chicken,Steers,30673
1997-05-24T00:00:00-05:00,Mature Chicken,Market Mature Chicken,234614
1997-05-24T00:00:00-05:00,Ducks/Geese,Lambs,1827
1997-05-24T00:00:00-05:00,Ducks/Geese,Sheep,425
1997-05-31T00:00:00-05:00,Turkey,Female,941
1997-05-31T00:00:00-05:00,Turkey,Male,3564
1997-05-31T00:00:00-05:00,Chicken,Bulls,641
1997-05-31T00:00:00-05:00,Chicken,Cows,10036
1997-05-31T00:00:00-05:00,Chicken,Heifers,15785
1997-05-31T00:00:00-05:00,Chicken,Steers,38060
1997-05-31T00:00:00-05:00,Mature Chicken,Market Mature Chicken,269380
1997-05-31T00:00:00-05:00,Ducks/Geese,Lambs,1872
1997-05-31T00:00:00-05:00,Ducks/Geese,Sheep,416
1997-06-07T00:00:00-05:00,Turkey,Female,1146
1997-06-07T00:00:00-05:00,Turkey,Male,3441
1997-06-07T00:00:00-05:00,Chicken,Bulls,757
1997-06-07T00:00:00-05:00,Chicken,Cows,9494
1997-06-07T00:00:00-05:00,Chicken,Heifers,15216
1997-06-07T00:00:00-05:00,Chicken,Steers,37132
1997-06-07T00:00:00-05:00,Mature Chicken,Market Mature Chicken,274302
1997-06-07T00:00:00-05:00,Ducks/Geese,Lambs,2386
1997-06-07T00:00:00-05:00,Ducks/Geese,Sheep,343
1997-06-14T00:00:00-05:00,Turkey,Female,868
1997-06-14T00:00:00-05:00,Turkey,Male,3397
1997-06-14T00:00:00-05:00,Chicken,Bulls,519
1997-06-14T00:00:00-05:00,Chicken,Cows,9488
1997-06-14T00:00:00-05:00,Chicken,Heifers,16048
1997-06-14T00:00:00-05:00,Chicken,Steers,36490
1997-06-14T00:00:00-05:00,Mature Chicken,Market Mature Chicken,271600
1997-06-14T00:00:00-05:00,Ducks/Geese,Lambs,2258
1997-06-14T00:00:00-05:00,Ducks/Geese,Sheep,438
1997-06-21T00:00:00-05:00,Turkey,Female,981
1997-06-21T00:00:00-05:00,Turkey,Male,3478
1997-06-21T00:00:00-05:00,Chicken,Bulls,727
1997-06-21T00:00:00-05:00,Chicken,Cows,8755
1997-06-21T00:00:00-05:00,Chicken,Heifers,16629
1997-06-21T00:00:00-05:00,Chicken,Steers,35783
1997-06-21T00:00:00-05:00,Mature Chicken,Market Mature Chicken,268400
1997-06-21T00:00:00-05:00,Ducks/Geese,Lambs,2936
1997-06-21T00:00:00-05:00,Ducks/Geese,Sheep,453
1997-06-28T00:00:00-05:00,Turkey,Female,852
1997-06-28T00:00:00-05:00,Turkey,Male,3106
1997-06-28T00:00:00-05:00,Chicken,Bulls,488
1997-06-28T00:00:00-05:00,Chicken,Cows,8637
1997-06-28T00:00:00-05:00,Chicken,Heifers,16368
1997-06-28T00:00:00-05:00,Chicken,Steers,33860
1997-06-28T00:00:00-05:00,Mature Chicken,Market Mature Chicken,257514
1997-06-28T00:00:00-05:00,Ducks/Geese,Lambs,2473
1997-06-28T00:00:00-05:00,Ducks/Geese,Sheep,331
1997-07-05T00:00:00-05:00,Turkey,Female,928
1997-07-05T00:00:00-05:00,Turkey,Male,3472
